Customer_ID,Age,Gender,Location,Subscription_Type,Account_Age_Months,Monthly_Spending,Total_Usage_Hours,Support_Calls,Late_Payments,Streaming_Usage,Discount_Used,Satisfaction_Score,Last_Interaction_Type,Complaint_Tickets,Promo_Opted_In,Churn
7360,37,Male,Illinois,Basic,42,136.94,408,5,3,76,27,1,Negative,3,1,1
4590,34,Male,Texas,Basic,52,183.28,26,8,3,49,0,9,Neutral,2,1,0
1527,20,Female,California,Premium,30,143.64,50,1,1,23,92,10,Positive,4,1,1
4938,40,Male,Florida,Premium,34,133.61,437,0,1,64,5,10,Negative,4,0,1
2630,25,Female,Florida,Premium,52,172.69,379,4,4,40,48,8,Neutral,4,1,0
4450,34,Female,Florida,Basic,50,51.81,479,3,0,45,74,1,Neutral,1,1,0
6904,56,Female,Illinois,Premium,58,83.21,450,5,4,56,46,5,Positive,2,0,0
1785,45,Male,Texas,Premium,22,30.16,374,1,1,5,29,3,Negative,1,0,0
1820,54,Female,Texas,Basic,49,20.95,120,1,0,12,17,7,Neutral,1,0,1
5745,62,Male,California,Basic,56,197.14,480,6,3,76,62,8,Positive,4,0,0
6761,32,Female,Texas,Premium,7,108.83,307,3,3,86,50,8,Positive,2,0,0
1505,51,Female,New York,Basic,41,58.13,490,2,2,8,54,9,Neutral,1,0,1
8546,44,Male,Florida,Basic,14,94.83,279,1,0,37,11,3,Neutral,0,0,0
2759,35,Male,Illinois,Premium,37,199.18,274,8,1,20,25,8,Negative,1,1,0
8273,56,Female,Texas,Premium,45,42.32,465,1,1,47,74,3,Positive,2,1,0
5447,48,Female,Texas,Basic,32,165.41,153,0,3,51,22,4,Negative,0,1,1
7379,31,Male,Florida,Premium,17,164.74,49,6,4,99,47,4,Positive,2,0,1
1369,55,Male,California,Premium,31,154.89,464,5,2,58,1,5,Positive,4,1,0
7719,46,Female,Texas,Basic,9,95.57,457,2,4,39,63,10,Positive,4,1,1
4563,64,Male,Illinois,Premium,52,61.28,440,3,3,72,60,9,Neutral,0,1,1
6719,50,Female,New York,Basic,16,37.54,167,9,0,90,20,3,Positive,2,1,0
1050,40,Female,Florida,Basic,20,157.2,307,4,4,66,0,1,Positive,2,0,0
3569,61,Female,Texas,Basic,19,52.96,347,3,3,35,60,5,Positive,4,1,1
3092,57,Female,California,Basic,2,69.27,398,2,4,43,87,1,Negative,0,1,1
3482,31,Female,Texas,Basic,55,107.75,242,6,1,40,33,4,Negative,2,1,0
4485,25,Female,Florida,Premium,49,62.38,274,3,3,68,69,5,Negative,4,0,1
3913,26,Male,New York,Basic,24,179.45,433,0,3,35,66,4,Neutral,1,1,0
6634,41,Female,New York,Basic,29,25.95,232,1,2,83,78,7,Neutral,0,0,0
5511,24,Male,Florida,Premium,42,88.94,179,3,4,40,56,8,Neutral,0,1,0
5722,34,Male,New York,Premium,25,40.96,94,5,3,18,85,4,Positive,1,1,1
2507,45,Female,Florida,Basic,7,79.62,243,8,1,53,92,6,Positive,0,0,1
5422,48,Male,Illinois,Enterprise,58,48.72,392,7,3,53,64,6,Positive,3,1,1
4776,23,Female,Illinois,Basic,38,26.05,436,6,2,61,40,2,Neutral,1,1,0
5603,41,Male,California,Premium,14,63.27,84,6,2,63,84,2,Neutral,0,0,1
3455,36,Female,Florida,Premium,51,58.11,385,7,4,54,42,5,Neutral,3,1,0
6619,42,Male,New York,Basic,36,87.98,251,1,0,42,13,10,Negative,4,1,0
3626,35,Male,California,Premium,49,62.88,234,8,0,34,66,10,Negative,4,1,1
1005,65,Male,New York,Premium,12,84.46,475,5,4,82,62,1,Neutral,0,0,1
2612,23,Male,New York,Basic,55,121.83,51,1,4,60,92,4,Negative,2,1,1
7481,19,Female,New York,Basic,21,80.98,331,7,0,91,9,4,Positive,0,0,1
4701,32,Male,Illinois,Premium,14,109.1,188,3,4,18,79,4,Negative,2,0,1
3766,59,Female,Illinois,Basic,55,46.24,30,5,3,9,11,2,Positive,0,0,0
4743,27,Female,Texas,Premium,13,72.62,74,5,3,92,59,8,Negative,2,1,0
1456,24,Male,California,Premium,53,37.95,51,1,4,35,69,6,Neutral,1,0,1
1596,35,Male,California,Premium,4,192.31,279,4,1,28,14,6,Negative,1,0,0
8369,62,Female,California,Enterprise,37,74.24,213,7,4,4,61,9,Negative,2,0,0
7166,59,Female,Texas,Premium,41,163.08,135,5,3,64,40,4,Positive,4,0,0
8337,51,Female,Florida,Basic,52,103.1,105,6,4,95,77,1,Neutral,3,1,0
8624,59,Male,California,Basic,54,42.67,484,5,3,41,41,4,Negative,1,0,1
4417,36,Female,New York,Basic,31,127.36,325,0,1,41,12,4,Negative,3,1,1
3170,44,Male,Texas,Premium,51,151.59,190,0,0,29,46,5,Negative,1,1,1
7437,42,Female,Florida,Basic,10,49.12,414,7,2,35,7,7,Neutral,4,0,0
6749,53,Female,Illinois,Basic,31,195.3,181,4,4,39,49,8,Neutral,2,0,1
2191,50,Male,Florida,Basic,28,109.55,17,9,1,27,32,9,Neutral,0,0,1
8731,49,Male,Florida,Premium,13,48.55,41,3,0,74,66,4,Positive,1,1,1
5075,68,Female,New York,Basic,10,183.89,122,3,4,29,34,10,Positive,4,0,0
8865,50,Male,California,Premium,27,35.01,164,4,4,59,42,7,Positive,1,1,0
6981,69,Male,California,Premium,14,132.22,39,7,1,60,10,10,Negative,0,0,0
3998,36,Female,Texas,Premium,38,181.22,235,5,4,17,79,2,Neutral,3,1,1
2410,41,Male,California,Basic,49,108.91,132,4,1,77,73,8,Positive,1,0,0
7171,62,Female,Texas,Basic,21,116.99,269,4,4,54,93,5,Negative,2,1,0
4700,21,Male,New York,Basic,18,65.88,316,3,3,85,44,5,Positive,0,1,1
7060,47,Female,California,Basic,46,190.42,87,3,4,37,42,1,Neutral,3,0,0
5912,47,Male,New York,Basic,42,143.54,38,4,4,71,46,9,Positive,0,1,1
3151,60,Female,Florida,Basic,25,69.28,473,5,0,86,69,4,Neutral,2,0,1
4996,27,Female,Texas,Basic,45,157.08,439,8,2,4,44,1,Negative,1,1,0
3850,27,Male,Texas,Premium,46,138.84,194,5,1,57,35,4,Positive,4,0,1
6163,50,Male,Texas,Premium,14,160.68,137,7,0,65,44,4,Neutral,1,0,1
2825,38,Female,Florida,Premium,58,32.13,415,7,1,43,39,4,Positive,2,1,1
7184,54,Female,New York,Basic,25,10.82,23,5,4,13,81,5,Negative,2,1,1
4014,25,Female,New York,Premium,37,135.26,436,1,4,89,83,3,Neutral,3,1,1
9000,48,Female,Florida,Premium,48,73.9,93,1,4,4,19,4,Neutral,2,1,0
1407,51,Male,Florida,Basic,23,192.51,449,7,4,32,24,2,Neutral,3,1,1
5490,25,Female,California,Basic,45,18.54,201,8,1,62,62,1,Neutral,0,1,1
7547,66,Female,Texas,Basic,33,34.81,445,6,3,68,25,9,Neutral,2,1,0
5995,23,Male,California,Basic,59,128.82,120,7,1,98,48,2,Positive,1,1,0
8097,56,Female,Florida,Premium,3,93.93,190,8,3,94,20,10,Neutral,0,0,0
2884,26,Male,Illinois,Basic,31,51.87,451,4,4,9,47,10,Neutral,3,0,1
5597,64,Male,New York,Basic,9,45.05,126,4,2,56,2,7,Neutral,1,1,1
7416,60,Male,California,Basic,26,97.59,94,4,2,37,23,5,Neutral,4,0,1
5392,32,Female,New York,Enterprise,59,175.51,248,5,2,74,68,9,Neutral,0,1,0
6661,63,Male,Illinois,Enterprise,13,87.68,282,2,1,48,45,3,Positive,0,1,0
2676,21,Male,Texas,Premium,5,13.27,139,3,2,38,24,3,Neutral,4,0,0
6231,66,Male,Illinois,Enterprise,39,186.22,368,2,2,47,83,6,Positive,3,0,1
3013,56,Female,Florida,Premium,36,122.31,437,7,2,44,40,6,Positive,2,1,1
8791,42,Male,Texas,Basic,35,103.42,324,6,1,41,19,3,Negative,4,1,0
2725,69,Female,Florida,Premium,33,199.65,29,7,3,28,13,10,Neutral,4,1,1
8033,56,Male,California,Basic,51,128.77,239,0,3,32,88,3,Negative,1,1,0
1712,27,Male,New York,Enterprise,43,47.49,467,0,1,6,69,3,Positive,2,1,1
2178,44,Female,New York,Premium,49,116.75,261,6,1,30,55,2,Neutral,0,0,1
7108,57,Female,California,Premium,56,152.74,69,6,1,70,32,5,Negative,4,0,0
3744,38,Female,Texas,Basic,12,116.9,253,0,4,88,29,5,Negative,2,1,0
2452,23,Male,New York,Premium,51,15.62,209,5,2,14,78,9,Negative,0,0,1
5712,31,Male,Texas,Enterprise,3,133.33,251,9,3,92,69,8,Neutral,2,0,0
3500,39,Female,California,Enterprise,17,10.77,298,2,4,73,22,6,Positive,2,0,1
7707,51,Female,New York,Basic,55,52.25,151,4,4,2,28,2,Neutral,0,1,1
5442,49,Male,Illinois,Enterprise,41,136.08,432,3,2,7,88,7,Positive,4,1,0
3132,26,Male,New York,Basic,35,118.4,125,4,2,5,90,10,Positive,3,1,1
6479,32,Female,New York,Premium,8,34.49,328,7,2,77,17,4,Negative,0,1,0
7209,68,Female,California,Premium,3,93.36,54,8,2,22,0,1,Neutral,4,1,0
8502,63,Male,Texas,Basic,41,131.17,334,1,1,68,87,6,Neutral,0,1,1
2753,61,Female,New York,Premium,44,92.85,477,6,4,3,72,1,Positive,4,0,0
4605,40,Male,California,Enterprise,57,39.3,367,0,0,67,50,8,Negative,3,1,1
7730,50,Female,Illinois,Basic,51,52.66,149,8,1,62,92,4,Neutral,1,1,1
4491,64,Female,New York,Premium,52,69.77,54,7,2,92,90,8,Positive,0,1,1
2208,61,Female,New York,Premium,22,194.75,93,5,3,5,72,10,Positive,4,0,1
2816,40,Male,California,Basic,47,76.19,475,5,2,33,33,3,Neutral,0,0,1
5284,41,Male,New York,Basic,41,135.81,206,6,2,56,3,10,Positive,3,0,0
3617,33,Female,California,Premium,6,37.13,154,8,0,38,14,8,Neutral,1,0,0
1961,68,Male,Illinois,Premium,26,173.63,144,3,1,84,4,4,Neutral,0,0,1
7308,62,Male,Florida,Basic,58,76.33,488,4,4,62,30,9,Negative,1,0,0
4277,21,Male,Florida,Basic,38,182.18,58,1,3,37,49,8,Negative,4,1,0
6690,45,Male,New York,Basic,20,189.62,221,2,4,61,24,10,Negative,4,0,1
4788,54,Female,New York,Enterprise,34,99.98,105,0,3,64,55,1,Positive,4,0,0
4744,58,Male,Texas,Basic,39,154.6,233,0,0,1,25,3,Negative,3,0,0
1322,50,Male,Illinois,Enterprise,31,84.31,319,8,2,50,53,3,Neutral,4,1,0
8541,59,Male,California,Premium,15,75.16,490,7,4,89,67,7,Neutral,3,0,1
5521,42,Male,California,Basic,20,160.8,404,8,1,12,61,3,Neutral,3,1,1
5140,26,Male,Illinois,Basic,4,35.21,221,8,3,27,50,9,Negative,2,1,0
4063,40,Female,Texas,Premium,44,80.94,305,0,3,88,26,1,Negative,0,0,1
5365,64,Male,New York,Basic,7,128.05,270,0,1,16,76,8,Positive,2,0,0
1118,53,Female,Florida,Basic,44,131.42,436,1,2,97,32,7,Neutral,1,0,1
7204,50,Male,Texas,Enterprise,28,139.72,310,0,0,67,1,3,Positive,1,1,1
4229,49,Female,Texas,Premium,7,33.31,452,6,0,29,82,6,Positive,1,0,0
6152,26,Male,Illinois,Basic,55,47.17,192,7,4,54,34,1,Neutral,1,1,0
4188,40,Female,California,Premium,48,170.55,85,8,4,14,10,2,Negative,3,1,0
7370,69,Male,Illinois,Basic,59,172.59,384,2,0,27,29,1,Negative,4,1,1
5642,48,Male,Texas,Basic,56,111.91,498,8,4,44,95,6,Negative,0,0,0
4731,49,Male,Illinois,Basic,38,198.96,342,6,4,94,48,3,Neutral,4,1,1
8954,53,Female,Florida,Basic,32,93.34,481,8,4,55,70,8,Positive,3,0,1
6127,56,Female,California,Basic,4,72.05,65,3,4,71,26,10,Negative,0,1,0
8565,61,Female,Texas,Premium,50,172.53,440,5,1,28,53,6,Positive,4,0,0
2112,31,Female,New York,Basic,56,197.28,260,1,3,21,57,10,Positive,4,1,0
7876,41,Female,Texas,Premium,52,83.29,282,1,1,44,49,2,Negative,0,0,1
5285,49,Male,Florida,Premium,3,178.37,403,5,3,70,62,9,Negative,1,0,0
8364,50,Female,Illinois,Basic,37,165.7,463,1,0,63,27,9,Positive,3,1,0
2198,55,Male,Texas,Premium,12,187.56,377,9,2,6,10,4,Positive,1,0,1
2267,55,Female,New York,Basic,24,178.33,219,6,1,55,45,9,Neutral,1,0,0
5683,27,Female,New York,Basic,8,79.61,134,2,4,25,63,4,Neutral,4,1,1
7880,48,Female,New York,Premium,9,82.48,424,4,1,59,48,7,Positive,0,0,1
3583,25,Male,California,Basic,53,193.61,392,0,0,12,95,7,Positive,2,1,0
4618,60,Male,Texas,Basic,51,50.94,469,9,3,64,41,7,Positive,1,0,0
7159,49,Male,Illinois,Premium,45,89.23,86,2,1,13,93,2,Negative,4,0,0
5093,27,Female,Texas,Premium,55,155.12,27,0,3,55,20,3,Positive,1,0,1
4456,48,Male,Florida,Basic,42,149.88,86,1,1,88,14,8,Neutral,3,1,1
1054,59,Female,Florida,Premium,53,49.6,298,1,2,9,29,1,Neutral,1,1,0
7439,57,Male,Florida,Basic,22,121.79,459,0,1,39,43,4,Positive,1,0,0
1725,51,Female,Illinois,Basic,57,128.44,132,1,4,8,16,5,Neutral,3,1,0
5535,35,Female,Texas,Basic,28,65.02,231,1,1,18,53,2,Negative,4,0,0
8108,32,Female,California,Basic,54,181.58,290,6,0,9,28,2,Positive,3,1,1
1591,23,Female,New York,Basic,48,20.78,10,3,0,24,35,10,Neutral,2,1,1
4890,26,Female,California,Premium,16,168.62,445,5,0,43,48,7,Neutral,3,1,0
8220,43,Male,Texas,Basic,38,60.23,214,9,4,52,47,2,Negative,0,1,1
6059,58,Male,Texas,Premium,44,149.03,457,4,4,74,82,6,Negative,4,1,0
4909,53,Male,Texas,Premium,46,186.82,336,4,4,54,14,10,Positive,3,0,0
4190,32,Male,Florida,Premium,40,141.5,335,3,0,60,53,10,Neutral,1,1,1
4880,38,Female,Illinois,Premium,53,50.85,350,2,3,14,37,2,Neutral,4,0,0
1823,24,Female,California,Basic,24,84.67,447,2,1,83,64,4,Neutral,4,1,0
8879,53,Male,California,Basic,40,177.86,199,9,2,14,44,4,Negative,4,1,0
5094,25,Male,Illinois,Basic,9,50.51,75,2,3,66,37,2,Positive,1,1,0
3378,41,Female,California,Enterprise,52,56.66,299,0,2,70,57,5,Positive,0,1,1
3044,43,Female,California,Basic,25,58.69,42,4,1,17,9,9,Neutral,0,1,1
1143,45,Female,Texas,Premium,37,64.09,296,2,1,61,94,5,Positive,3,0,0
1302,49,Female,New York,Premium,43,187.34,102,7,0,71,37,2,Neutral,0,1,1
8261,44,Female,California,Basic,10,91.57,81,4,4,45,30,2,Positive,0,1,1
5907,24,Male,Florida,Basic,1,139.35,23,5,0,71,55,3,Negative,4,1,1
6985,62,Male,New York,Premium,4,19.49,407,2,2,3,8,3,Negative,0,1,0
4358,52,Male,Illinois,Basic,57,66.97,288,9,0,68,75,8,Negative,0,1,1
2926,59,Female,Texas,Basic,10,111.25,273,3,1,27,23,1,Positive,2,1,1
4242,27,Female,Illinois,Basic,19,135.79,176,9,1,14,37,3,Negative,1,0,0
5219,35,Female,California,Premium,4,38.22,60,9,3,68,22,4,Negative,0,0,1
6613,57,Male,New York,Basic,13,134.46,197,5,2,85,37,8,Positive,0,0,1
5873,19,Female,California,Basic,40,60.11,117,4,0,9,12,4,Neutral,1,0,0
2658,32,Male,California,Basic,47,31.66,287,9,0,79,22,5,Positive,2,1,0
2495,42,Female,Texas,Basic,5,92.84,380,3,4,43,81,2,Positive,4,0,0
5105,59,Female,Illinois,Premium,22,50.38,59,6,3,18,73,3,Neutral,0,1,0
5764,60,Female,California,Enterprise,3,66.18,194,9,4,80,30,8,Positive,1,1,1
5798,28,Female,California,Premium,5,189.06,260,0,1,66,55,2,Neutral,3,1,0
3653,45,Male,Illinois,Premium,23,118.43,145,5,3,60,68,4,Neutral,1,0,1
8581,63,Male,New York,Basic,39,127.37,384,7,1,14,58,7,Positive,3,1,1
3441,20,Male,Illinois,Basic,2,163.36,126,6,4,9,66,5,Negative,4,1,1
8318,37,Female,Illinois,Basic,18,146.89,231,2,4,13,67,2,Negative,4,0,0
6860,45,Male,Florida,Enterprise,56,173.63,107,8,2,56,1,2,Neutral,0,1,1
2687,55,Male,New York,Premium,11,106.23,280,6,2,16,38,3,Positive,3,1,1
1314,21,Male,Texas,Basic,48,171.45,105,6,2,72,36,2,Negative,2,1,0
1609,69,Female,New York,Premium,47,165.89,98,2,1,38,31,1,Neutral,1,1,0
7631,36,Male,California,Basic,47,42.25,55,7,1,25,99,10,Neutral,3,1,1
5375,31,Female,New York,Enterprise,7,149.31,481,6,4,43,29,1,Neutral,2,1,0
8241,19,Female,Florida,Premium,58,123.87,331,0,3,50,15,8,Neutral,4,1,0
3115,46,Male,New York,Basic,26,144.08,82,9,0,75,92,8,Positive,4,1,0
7631,36,Male,California,Basic,47,42.25,55,7,1,25,99,10,Neutral,3,1,1
6910,28,Male,New York,Basic,53,82.15,319,9,4,32,42,9,Negative,1,0,0
6608,24,Male,California,Basic,36,120.67,303,5,0,28,21,3,Neutral,4,0,1
2711,66,Female,Illinois,Premium,23,156.95,412,5,4,68,28,3,Neutral,3,1,0
7147,49,Female,Illinois,Basic,21,111.26,136,7,3,69,19,8,Neutral,1,0,0
1151,18,Male,Florida,Premium,22,11.46,441,2,2,19,11,6,Neutral,1,0,0
7224,68,Male,Illinois,Basic,30,27.92,220,7,3,32,56,10,Negative,4,0,0
6208,45,Male,Illinois,Premium,4,80.57,244,0,0,69,61,8,Negative,1,1,0
2163,27,Female,New York,Basic,33,183.82,25,3,2,47,37,1,Neutral,2,1,0
5684,48,Male,Florida,Premium,57,64.11,426,2,2,25,32,9,Negative,4,1,1
6870,29,Female,Illinois,Premium,54,125.84,390,9,0,66,21,1,Positive,0,1,1
3872,44,Female,Illinois,Basic,4,132.91,442,8,3,24,3,1,Neutral,0,0,0
5426,25,Female,Florida,Premium,52,191.72,341,0,0,78,41,3,Positive,2,1,0
2542,29,Female,Texas,Basic,55,64.06,292,3,3,15,82,8,Positive,3,0,0
5483,61,Female,Texas,Basic,3,69.14,248,6,4,19,93,9,Positive,3,0,0
7031,18,Female,Texas,Premium,29,14.63,33,7,2,25,99,8,Neutral,4,1,0
5055,59,Male,Illinois,Premium,41,136.74,115,6,3,37,76,5,Neutral,3,1,1
2855,41,Male,Florida,Enterprise,42,130.04,235,2,0,92,30,5,Negative,3,0,0
8208,40,Male,Texas,Premium,23,151.95,80,6,0,32,78,6,Neutral,3,0,1
5987,59,Male,Texas,Basic,19,92.75,281,7,1,82,85,1,Negative,3,1,1
6868,63,Female,Florida,Premium,36,63.63,214,6,1,27,74,7,Neutral,0,0,1
1459,43,Male,Texas,Basic,8,174.48,481,6,3,96,68,3,Positive,4,0,0
6391,59,Male,Texas,Basic,36,153.03,203,8,1,13,44,10,Negative,0,1,0
2623,35,Male,California,Premium,28,148.77,37,3,1,29,16,7,Negative,2,0,1
7112,56,Female,California,Basic,37,96.38,93,7,4,31,1,6,Negative,3,1,1
1458,57,Female,Texas,Premium,10,36.37,364,5,4,1,95,1,Neutral,0,0,0
4570,30,Female,Illinois,Enterprise,41,79.24,286,1,1,36,93,7,Negative,0,0,1
7127,60,Male,Florida,Premium,55,146.73,150,2,2,58,52,1,Neutral,3,0,1
3679,52,Female,Texas,Premium,31,152.18,81,8,0,34,75,9,Negative,0,1,0
6758,29,Male,Florida,Premium,27,54.79,271,8,1,37,65,4,Positive,0,0,0
3826,23,Female,California,Basic,19,38.4,99,6,2,78,79,5,Neutral,3,1,0
1480,51,Male,Florida,Premium,14,135.84,313,2,1,78,8,5,Negative,3,0,0
6159,55,Male,Florida,Premium,19,131.57,243,2,2,65,38,5,Positive,0,1,0
3673,55,Male,Florida,Basic,5,30.52,398,1,3,21,68,2,Neutral,1,1,1
1591,23,Female,New York,Basic,48,20.78,10,3,0,24,35,10,Neutral,2,1,1
3825,65,Male,California,Basic,20,87.26,262,4,4,51,87,4,Neutral,4,1,0
1257,53,Male,Texas,Premium,11,140.06,253,9,4,54,95,1,Positive,3,1,1
4458,44,Male,Illinois,Premium,30,13.48,200,7,2,25,7,3,Positive,4,1,0
5308,67,Male,California,Basic,59,167.46,142,0,1,34,5,2,Neutral,1,1,1
7870,60,Male,Illinois,Basic,54,75.28,304,6,2,77,39,3,Negative,1,1,0
7907,69,Female,Illinois,Premium,42,44.24,357,8,2,41,7,7,Neutral,3,1,0
8020,61,Male,Florida,Premium,59,26.91,319,3,0,25,11,9,Positive,0,0,0
4041,45,Male,Texas,Basic,30,64.39,271,0,2,90,31,4,Positive,3,0,0
5397,26,Male,California,Premium,16,64.32,411,0,3,32,1,9,Positive,3,1,1
3086,21,Female,Illinois,Premium,3,116.67,438,7,0,28,18,10,Negative,1,1,1
4858,61,Female,Florida,Premium,27,101.53,198,9,2,49,68,9,Positive,0,1,1
3523,25,Male,California,Basic,40,125.23,139,6,4,55,46,5,Neutral,3,1,1
4685,64,Female,California,Basic,53,153.28,124,9,1,68,50,1,Positive,4,1,1
8778,55,Female,California,Basic,40,58.77,300,7,0,74,75,6,Neutral,3,1,0
8902,29,Female,Florida,Premium,9,81.0,18,2,2,2,62,2,Positive,2,1,0
1989,28,Male,California,Enterprise,46,51.52,386,6,3,20,42,6,Neutral,3,1,0
8341,55,Female,New York,Premium,46,28.9,488,8,4,98,34,7,Neutral,3,1,0
5069,37,Male,California,Basic,46,20.51,96,9,2,98,14,2,Positive,0,1,0
1980,68,Female,California,Premium,21,99.44,460,6,2,62,56,4,Positive,4,1,0
6163,50,Male,Texas,Premium,14,160.68,137,7,0,65,44,4,Neutral,1,0,1
7901,42,Male,Illinois,Basic,32,40.33,294,8,3,36,42,9,Negative,4,0,1
7840,53,Male,California,Premium,6,167.85,101,3,0,83,23,4,Negative,2,0,0
6673,41,Male,Texas,Basic,4,57.61,52,5,2,94,35,2,Positive,3,0,0
6893,49,Male,New York,Premium,35,134.71,469,6,3,40,49,1,Positive,0,0,1
6290,41,Female,Texas,Enterprise,14,161.32,453,6,0,68,76,4,Positive,3,0,0
2827,65,Male,New York,Basic,37,114.53,390,9,4,46,13,10,Positive,1,1,1
5765,24,Female,Illinois,Basic,22,30.5,56,7,4,22,22,2,Negative,1,1,1
5214,59,Female,Texas,Premium,4,165.73,171,8,2,41,8,2,Neutral,3,1,1
8999,49,Male,Texas,Premium,54,63.79,195,9,0,16,16,10,Negative,1,0,0
5431,56,Female,New York,Premium,19,104.12,495,4,3,16,3,7,Neutral,0,0,0
5179,21,Female,Texas,Basic,18,67.69,276,1,3,34,65,2,Positive,3,0,1
3063,63,Female,California,Enterprise,32,93.61,270,5,3,96,6,5,Positive,2,0,0
7506,45,Female,Illinois,Basic,3,103.34,374,1,1,36,46,2,Negative,0,0,0
1539,36,Male,Illinois,Basic,34,170.37,50,4,1,54,64,8,Neutral,1,0,0
4475,45,Female,Texas,Basic,15,37.35,442,6,0,81,5,1,Positive,1,0,1
6279,23,Male,Illinois,Enterprise,54,163.08,74,0,0,33,15,5,Negative,2,0,0
5106,54,Female,Texas,Premium,33,31.76,167,5,3,66,12,1,Negative,1,0,1
3198,58,Male,Texas,Premium,2,44.82,133,0,4,18,46,6,Negative,2,0,0
2160,28,Male,New York,Basic,34,43.95,157,3,2,27,22,5,Positive,4,1,1
8427,42,Male,Florida,Premium,34,196.69,264,9,3,43,97,8,Neutral,4,1,0
7368,31,Female,New York,Basic,27,101.7,242,3,3,73,98,8,Neutral,2,1,0
2619,25,Female,New York,Premium,36,153.2,330,0,0,44,45,8,Negative,2,1,0
6262,33,Male,Florida,Premium,27,145.54,104,0,3,8,3,10,Negative,3,1,0
